=== MEDICAL CORPUS INDEX ===

Total Documents: 191
Total Volume: 2 MB
Generated: 2026-05-03T21:56:14.615Z

=== DOCUMENTS ===
Subject | Source | Type | Pages | Size(KB) | Lines | Path
------------------------------------------------------------------------------------------------------------------------------------------------------
cardiology     | Coronary Artery Disease (CAD)  | audio-transcript   | 1-10     |       23 |    255 | corpus/cardiology/audio-transcripts/Coronary Artery Disease (CAD) - CMED4IIM2 - 2026_pages-001-010.txt
cardiology     | Coronary Artery Disease (CAD)  | audio-transcript   | 11-20    |       23 |    258 | corpus/cardiology/audio-transcripts/Coronary Artery Disease (CAD) - CMED4IIM2 - 2026_pages-011-020.txt
cardiology     | Coronary Artery Disease (CAD)  | audio-transcript   | 21-23    |       23 |    253 | corpus/cardiology/audio-transcripts/Coronary Artery Disease (CAD) - CMED4IIM2 - 2026_pages-021-023.txt
cardiology     | ECG Interpretation - CMED4IIM2 | audio-transcript   | 1-10     |       27 |    409 | corpus/cardiology/audio-transcripts/ECG Interpretation - CMED4IIM2 - 2026_pages-001-010.txt
cardiology     | Evaluation Of Valvular Heart D | audio-transcript   | 1-9      |       27 |    307 | corpus/cardiology/audio-transcripts/Evaluation Of Valvular Heart Disease - CMED4IIM2 - 2026_pages-001-009.txt
cardiology     | Infective Endocarditis - CMED4 | audio-transcript   | 1-7      |       21 |    243 | corpus/cardiology/audio-transcripts/Infective Endocarditis - CMED4IIM2 - 2026_pages-001-007.txt
cardiology     |                                | book-text          | 1-10     |        4 |     40 | cardiology\book-texts\pages-001-010.txt
cardiology     |                                | book-text          | 11-19    |        3 |     93 | cardiology\book-texts\pages-011-019.txt
cardiology     |                                | book-text          | 11-20    |        2 |     38 | cardiology\book-texts\pages-011-020.txt
cardiology     |                                | book-text          | 21-30    |        2 |     39 | cardiology\book-texts\pages-021-030.txt
cardiology     |                                | book-text          | 31-35    |        1 |     21 | cardiology\book-texts\pages-031-035.txt
cardiology     |                                | book-text          | 31-39    |        2 |     64 | cardiology\book-texts\pages-031-039.txt
cardiology     |                                | book-text          | 31-40    |        2 |     39 | cardiology\book-texts\pages-031-040.txt
cardiology     |                                | book-text          | 41-44    |        1 |     16 | cardiology\book-texts\pages-041-044.txt
cardiology     |                                | book-text          | 41-50    |        3 |     39 | cardiology\book-texts\pages-041-050.txt
cardiology     |                                | book-text          | 51-55    |        1 |     19 | cardiology\book-texts\pages-051-055.txt
cardiology     |                                | book-text          | 51-58    |        1 |     25 | cardiology\book-texts\pages-051-058.txt
cardiology     |                                | book-text          | 51-60    |        2 |     81 | cardiology\book-texts\pages-051-060.txt
cardiology     |                                | book-text          | 61-70    |        3 |     99 | cardiology\book-texts\pages-061-070.txt
cardiology     |                                | book-text          | 71-74    |        1 |     28 | cardiology\book-texts\pages-071-074.txt
cardiology     | Hypertension_2                 | book-text          | 1-10     |        3 |    102 | cardiology\book-texts\Hypertension_2\pages-001-010.txt
cardiology     | Hypertension_2                 | book-text          | 11-19    |        3 |     93 | cardiology\book-texts\Hypertension_2\pages-011-019.txt
cardiology     | IHD                            | book-text          | 1-10     |        3 |     54 | cardiology\book-texts\IHD\pages-001-010.txt
cardiology     | IHD                            | book-text          | 11-20    |        3 |     56 | cardiology\book-texts\IHD\pages-011-020.txt
cardiology     | IHD                            | book-text          | 21-30    |        2 |     59 | cardiology\book-texts\IHD\pages-021-030.txt
cardiology     | IHD                            | book-text          | 31-40    |        2 |     45 | cardiology\book-texts\IHD\pages-031-040.txt
